OTU_ID,1AA,1AB,1AC,1AD,1AE,1AGA,1AGB,1AGC,1AGD,1AGE,1EA,1EB,1EC,1ED,1EE,1LGA,1LGE,1MA,1NA,1NB,1NC,1ND,1NE,1RA,1RB,1RC,1RD,1RE,2AAF,2ABF,2ABM,2ACF,2ADF,2AEF,2AEM,2AGAF,2AGAM,2AGBF,2AGBM,2AGCF,2AGCM,2AGDF,2AGDM,2AGEF,2AGEM,2EA,2EB,2EC,2ED,2LGB,2LGC,2LGD,2MA,2MB,2MC,2ME,2NA,2NB,2NC,2ND,2NE,Consensus Lineage
5081,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,16,7,38,22,20,31,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,27,19,1,7,11,10,2,1,6,30,6,4,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
5091,0,0,2,0,0,0,0,1,0,0,14,14,6,0,0,0,0,6,14,6,24,7,22,30,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,3,4,4,2,2,0,0,8,18,3,0,2,5,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae
5099,2340,314,127,90,165,2,0,7,5,5,241,56,214,1,1,3,1,40,38,6,24,29,10,124,0,0,0,2,683,63,358,91,129,89,52,5,0,0,1,1,0,5,0,15,0,52,25,2,27,20,4,6,4,0,1,10,11,6,5,14,10,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
5100,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,7,13,17,5,33,12,959,689,722,536,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,2,2,21,18,13,4,21,4,7,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
5102,3,17,1,29,21,0,0,2,0,1,13,16,5,0,1,0,0,4,15,10,24,13,26,49,1,0,0,0,32,8,58,5,14,25,19,1,0,0,0,2,0,0,0,1,0,11,7,1,5,0,0,1,1,0,1,10,22,4,0,13,13,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae
5113,0,0,12,3,2,0,0,2,0,2,10,9,17,2,10,0,0,4,7,7,21,9,9,24,1,0,0,0,13,9,6,7,10,10,5,0,0,0,1,3,0,1,0,1,1,12,17,0,2,0,3,0,1,0,1,14,10,2,0,6,6,k__Bacteria; p__Bacteroidetes
5116,4,22,53,11,27,0,0,0,4,2,966,1124,1300,796,401,3,1,1075,443,658,558,232,2181,1874,24,5,0,0,54,71,10,18,13,7,32,0,0,0,0,0,0,3,1,65,0,340,1137,4,983,0,2,0,159,376,2,55,1221,556,4,370,22,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__
5120,3,8,39,5,11,0,0,188,4,27,162,172,65,59,172,1,12,540,356,797,588,328,1492,456,59,144,50,71,69,88,19,127,35,58,14,262,0,88,112,81,0,41,0,117,6,168,227,62,36,2,3,7,142,231,310,279,573,234,848,191,229,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
5129,26,5507,1266,5298,2498,0,17,570,49,423,3050,940,405,82,1009,1,0,2467,947,1496,1876,680,1780,1751,327,459,316,593,3237,1034,3285,2117,1270,3146,3119,190,91,27,235,324,46,134,0,242,42,2790,1890,436,539,11,0,2,611,1016,841,1354,1441,828,1407,652,454,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
5137,4,0,0,0,0,1,0,0,0,0,9,2,1,0,0,83,8,4,2,5,1,0,0,1,0,0,0,0,1,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,15,10,1,4,34,24,3,0,0,0,0,0,0,0,2,0,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium
