"","X1AA","X1AB","X1AC","X1AD","X1AE","X1AGA","X1AGB","X1AGC","X1AGD","X1AGE","X1EA","X1EB","X1EC","X1ED","X1EE","X1LGA","X1LGE","X1MA","X1NA","X1NB","X1NC","X1ND","X1NE","X1RA","X1RB","X1RC","X1RD","X1RE","X2AAF","X2ABF","X2ABM","X2ACF","X2ADF","X2AEF","X2AEM","X2AGAF","X2AGAM","X2AGBF","X2AGBM","X2AGCF","X2AGCM","X2AGDF","X2AGDM","X2AGEF","X2AGEM","X2EA","X2EB","X2EC","X2ED","X2LGB","X2LGC","X2LGD","X2MA","X2MB","X2MC","X2ME","X2NA","X2NB","X2NC","X2ND","X2NE"
"37",0.102053833397117,0.0543488106668599,9.0637780479717,0.453697635731209,0.0627352572145546,0,0,42.9549455564974,0.760735552582566,4.21331967690123,2.83854319394757,0.557447375755887,3.21164510166359,4.68813697513249,0,0.810017212865773,0.282725473565168,0.997040698352762,0.815852644460831,0.362103302899413,0.177496308076792,0.112030472288462,0.641627901647609,0.662168336434488,3.53039659334927,5.34782297848002,2.9228738449934,2.50634619710164,0.179129755080771,1.17083555082491,2.53188297074269,0.437110698284341,0.560067208064968,0.470443853548783,1.03258723843654,53.4939564541841,0,43.5384656352355,41.5928479925863,25.0527368810212,0,25.3671240143715,0.347886588971995,14.1411241116933,1.00481797335944,1.01577920653792,1.05197784509309,0.143097341966873,1.64174203755112,0.287391714907419,0.219934294629479,0.292786198509043,1.21658501298787,0.784810126582278,1.11991547807713,0.924258601182414,1.00678357085606,0.453059134066107,0.545375218150087,0.565635469694992,0.723879996782756
"40",8.39392779691287,27.7722422507654,6.85310047529568,0.100821696829158,0.313676286072773,0.0529100529100529,0.487000824155241,12.8056334354828,65.4757220429684,21.7183826439163,0.0938361386428948,0.799815799997576,0.231053604436229,3.94075281967659,2.28015832042678,0.405008606432887,0.0257023157786517,0.021213631879846,0.0941368435916344,0.0172430144237816,0.021299556969215,0,0,0.0463517835504142,0.0242638941123661,0,0,0,3.66401771756123,0.0851516764236296,68.3842835708927,1.72658725822314,6.61897609531326,0.102270402945388,1.54888085765481,26.0709889622051,0,95.9443985833355,3.67957698492736,10.4603875345236,0,2.45955004702081,0.173943294485998,4.49836096954035,1.57163836858784,3.93614442533446,0.392907387926336,0.321969019425464,0.537297394107639,0.109482558059969,0.0549835736573699,0.0675660458097791,0.164403380133496,0.0253164556962025,0.0422609614368727,0,0.0879713799777139,0.0393964464405311,0.0409031413612565,0.0435104207457686,0
"768",20.3342263043756,229.478794905705,19.1407833167533,0.151232545243736,0.533249686323714,0,11.0886341499963,35.8349090434896,519.818472757798,269.349845201238,0.50436924520556,0.59380263939214,0.739371534195933,0.54355211305884,0.559284116331096,0.101252151608222,0,1.29403154467061,1.11395264916767,0.336238781263741,0.340792911507441,0.0160043531840661,0.297898668622104,0.357570901674624,0.0485277882247322,0,0,0,0.016284523189161,0,0.0937734433608402,0,0.0509152007331789,0,0,0,0,0.026629030969563,0,0.0217471674314421,0,0.024113235755106,0,0.382839231450243,0.0257645634194729,0,0.0126744318685915,0,0.0298498552282021,0,0.0137458934143425,0,0.0328806760266991,0,0,0,0.00977459777530155,0,0.0272687609075044,0,0
"796",122.974869243526,168.282034094821,215.33841789175,148.157483490447,286.511919698871,879.312169312169,925.45141230239,54.9911977570581,191.233178562997,343.141134570172,0.0234590346607237,0.0605921060604224,0.0462107208872458,0,0.64532782653588,0.236255020419184,0.15421389467191,0.021213631879846,0.0627578957277562,0.0517290432713447,0.0567988185845734,0.0480130595521982,0.0343729233025505,0.0132433667286898,0.0485277882247322,0.0571959676842783,0.0188572506128606,0.0481989653288776,129.85278791037,342.671633847791,143.94223555889,458.157578406731,199.613044474428,361.362241767233,204.847085978073,11.0176160784551,845.395590142672,235.400633770937,272.997356155796,300.632842572255,952.498257029979,103.807479925731,848.930248738911,72.3087598401646,46.1443330842759,0.0808006187018804,0.0633721593429575,0.0357743354917182,0.0895495656846064,0.0547412790299845,0.0412376802430274,0,0,0.126582278481013,0.0211304807184363,0.0637419724953389,0.0977459777530155,0.118189339321593,0.0818062827225131,0.0652656311186529,0
"886",0.204107666794234,0.16304643200058,7.53472606020412,0.302465090487473,0.909661229611041,0,0,52.070157136337,0.734503292148684,7.72829907586303,6.16972611577034,2.19343423938729,17.7911275415896,8.83272183720614,3.35570469798658,0.303756454824665,0.128511578893258,1.55920194316868,0.862921066256648,0.637991533679918,0.653186413722595,0.576156714626378,1.84468021723688,1.07271270502387,3.40907712278744,4.44698648745263,2.2062983217047,3.16506538992963,0.423397602918187,1.49015433741352,1.73480870217554,0.546388372855426,1.04376161503017,0.306811208836163,0.819995748170195,35.9585931351777,0,38.3724336271403,29.3548475019761,22.0951221103451,0,27.8990137686576,0,7.48929246524538,1.31399273439312,1.38515346346081,1.98988580336886,1.39519908417701,0.328348407510224,0.0684265987874807,0.0962212539003973,0.472962320668453,1.41386906914806,1.41772151898734,3.04278922345483,1.48200086051663,1.56393564404825,0.886420044911949,1.02257853403141,0.804942783796719,1.04560443979731
"928",10.4605179232045,6.68490371202377,1.97118750230279,0.0504108484145788,0,0.264550264550265,0,0.260807198278672,0.0524645208677632,0,0.0117295173303619,0.181776318181267,0,0,0,13.534037598299,18.4028580975146,1.31524517655045,0.0627578957277562,0.0862150721189078,0.482789957968874,0,0.229152822017003,0.172163767472967,0.315430623460759,0.0285979838421391,0.0377145012257213,0,38.0080771235018,0.170303352847259,4.47768192048012,0.874221396568681,92.0037677248543,0.32726528942524,40.7871959182434,0.121072704158847,2.49027237354086,44.7367720288659,0,8.6336254702825,0.0464792005577504,171.782691519375,0.782744825186989,12.7294044457206,123.128848581661,5.99078872946799,0.34220966045197,0.107323006475155,2.56708754962538,11.6735777531442,5.53959504598001,28.8056575302358,1.93995988557525,0.531645569620253,0.126782884310618,0.478064793715042,0.146618966629523,0.137887562541859,0.0681719022687609,0.30457294522038,0.0268103702512132
"956",0.535782625334864,0.489139296001739,4.51346671088022,1.53753087664465,0.846925972396487,0.529100529100529,0.599385629729527,10.3540457716633,1.73132918863618,5.0280500011639,49.076300510234,15.0753159878331,15.4805914972274,5.23168908819133,13.3797969368439,0.371257889230146,0,40.6559254977248,25.1972951346941,27.2612058039987,12.5951380211292,17.0926492005826,16.7396136483421,15.3159536217297,28.2431727467941,34.2031886751984,28.3424476711296,8.90074226406607,6.6440854611777,4.598190526876,9.30701425356339,14.5557862528685,10.3612433492019,7.48619349560237,5.1933064050779,7.30471981758379,0.985732814526589,0.798870929086891,5.15140777889831,2.52267142204728,1.34789681617476,1.47090738106146,2.08731953383197,7.05859832986385,0.283410197614201,14.4171389655212,14.2840847159026,12.4494687511179,15.5816244291215,0.109482558059969,0.0962212539003973,0,22.0629336139151,20.5569620253165,28.2091917591125,27.5524676111102,12.9317928567239,16.2313359334988,21.0514834205934,33.0026541356655,14.7457036381672
"1006",8.90419696389846,1.4855341582275,3.81341881286614,1.4367091798155,3.70138017565872,0,0,3.35137249788094,0.970593636053619,3.5615354174911,20.6439505014369,4.47169742725918,11.5757855822551,7.74561761108846,17.337807606264,2.36255020419184,0.0257023157786517,14.1282788319774,5.71096851122582,9.34571381768961,8.9742133363626,3.23287934318135,4.69763285134856,3.98625338533562,17.6398510196902,19.0748552227068,15.0669432396757,23.1676360014138,5.42274622199062,3.12932410856839,2.22711927981995,3.3438968418752,3.71680965352206,3.23174473307425,1.09332766422693,1.95734205056803,0,0.133145154847815,2.86189321049906,2.71839592893026,0.139437601673251,0.578717658122543,0.260914941728996,3.1584236594645,0.334939324453147,15.4560040631168,15.3740858566015,11.6266590348084,9.91015193576311,0.205279796362442,0.0274917868286849,0.0225220152699264,10.6862197086772,8.17721518987342,20.5388272583201,11.6488454735232,10.7813813461576,7.18985147539692,21.5968586387435,13.72753774529,8.79380144239792
"1015",262.99272866437,63.9685501548941,9.1743119266055,30.9774663507587,62.892095357591,20.8994708994709,0.299692814864764,1.03018843320076,0.918129115185856,1.58290462999604,4.21089672159991,8.09510536967244,10.8595194085028,0,0.172087420409568,1.95754159775895,0.205618526229213,1.72891099820745,3.85961058725701,1.4053056755382,1.46256957855277,7.08992846054127,1.44366277870712,3.99949675206431,0.145583364674197,0.529062701079574,0.188572506128606,0.273127470196973,73.6060448150078,3.53379457158063,44.0735183795949,15.5611408589225,12.1432753748632,42.6876661894048,10.9029064293741,0.48429081663539,2.59403372243839,0.133145154847815,0.735915396985472,1.02211686927778,0.0929584011155008,0.144679414530636,23.3953731083667,2.15347067690762,0.18035194393631,2.62024863504669,1.31814091433351,0.429292025900619,7.70126264887615,2.25807775998686,2.50175260141033,1.57654106889484,1.90707920954855,1.82278481012658,1.92287374537771,1.91225917486017,0.742869430922918,1.16219516999567,1.79973821989529,1.78392725057651,0.884742218290035
"1069",29.697665518561,1.01451113244805,0.294757009690137,0,0.188205771643664,0.211640211640212,0.41207762043905,0.14344395905327,0.0524645208677632,0.139668055587886,13.0197642367017,2.30250003029605,11.6219963031423,3.39720070661775,0,26.7305680245705,12.0029814686303,1.68648373444776,0.737405274801136,1.63808637025925,0.823582869476315,1.32836131427748,0.229152822017003,1.92690985902436,0.254770888179844,0.171587903052835,0.0188572506128606,0.0160663217762925,10.5035174570089,0.276742948376796,11.3465866466617,11.4085892252213,16.3437794353504,4.17263244017181,0.728885109484617,0.0605363520794237,0,0.159774185817378,0,2.71839592893026,0.418312805019754,0.024113235755106,0,0.311056875553322,0.0515291268389457,30.1732596123879,21.4324642897882,8.80048653096269,33.8795856840094,87.8050115640952,96.4961717686841,8.17549154298327,0.986420280800973,0.278481012658228,0.4648705758056,1.9760011473555,1.11430414638438,0.807627152030887,0.981675392670157,2.32780750989862,2.33250221185555
