"","1AA","1AB","1AC","1AD","1AE","1AGA","1AGB","1AGC","1AGD","1AGE","1EA","1EB","1EC","1ED","1EE","1LGA","1LGE","1MA","1NA","1NB","1NC","1ND","1NE","1RA","1RB","1RC","1RD","1RE","2AAF","2ABF","2ABM","2ACF","2ADF","2AEF","2AEM","2AGAF","2AGAM","2AGBF","2AGBM","2AGCF","2AGCM","2AGDF","2AGDM","2AGEF","2AGEM","2EA","2EB","2EC","2ED","2LGB","2LGC","2LGD","2MA","2MB","2MC","2ME","2NA","2NB","2NC","2ND","2NE","Consensus Lineage"
"827",0,0.0362325404445733,0.0184223131056335,0.100821696829158,0.0313676286072773,0.0529100529100529,0.0749232037161909,0.0782421594836017,0.209858083471053,0.0465560185292954,0.0351885519910856,0.0363552636362535,0.0462107208872458,0,0.043021855102392,0.0675014344054811,0.0514046315573033,0.042427263759692,0.0627578957277562,0.0862150721189078,0.0709985232307168,0.0640174127362643,0.0687458466051009,0.059595150279104,0.0485277882247322,0.0857939515264174,0.0942862530643032,0.0963979306577552,0.0651380927566441,0.0212879191059074,0.0937734433608402,0.0655666047426511,0.127288001832947,0.0818163223563101,0.0911106386855772,0.0201787840264746,0,0.106516123878252,0,0.0434943348628841,0.0929584011155008,0.048226471510212,0.173943294485998,0.119637259828201,0.0515291268389457,0.0692576731730403,0.0633721593429575,0.0357743354917182,0.0596997104564043,0.0684265987874807,0.0274917868286849,0.0225220152699264,0,0.0253164556962025,0.063391442155309,0.111548451866843,0.117295173303619,0.0590946696607966,0.0681719022687609,0.130531262237306,0.0536207405024263,"k__Bacteria"
"831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640174127362643,0,0,0,0,0,0,0,0.0212879191059074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01154294552884,0.126744318685915,0,0,0.0136853197574961,0,0,0.230164732186894,0.227848101265823,0,0.27090338310519,1.05565655973257,0.650041366268763,0,0.108776051864422,0.0804311107536395,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria"
"850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283994092922867,0,0,0,0.970555764494644,1.1296203617645,0.86743352819159,1.10857620256418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126744318685915,0,0,0,0,0,0.0328806760266991,0,0.063391442155309,0,0,0,0.0136343804537522,0,0,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__"
"857",0,0,0.0552669393169006,0,0,0,0,0,0,0,0.0586475866518093,0.35143421515045,0,0,0,0.101252151608222,0,0.063640895639538,1.14533159703155,0.0862150721189078,0.149096898784505,0.240065297760991,0.0114576411008502,0.370814268403313,0.0485277882247322,0.0428969757632087,0.0188572506128606,0,0.032569046378322,0,0,0.0437110698284341,0,0.0818163223563101,0,0,0,0,0,0,0,0,0,0.334984327518963,0,0.138515346346081,0.0760465912115489,1.32365041319357,0.0298498552282021,0.0273706395149923,0,0,0.36168743629369,0.0253164556962025,3.31748547279451,0.254967889981355,0.430082302113268,0.157585785762124,4.25392670157068,1.06600530827133,0.160862221507279,"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae"
"860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885632135101362,0.529062701079574,0.924005280030172,0.835448732367212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__"
"867",0.0255134583492792,0.21739524266744,1.56589661397885,0,0,0,0.0374616018580955,0,0,0,0.140754207964342,0.048473684848338,0.0231053604436229,0,0,0.641263626852071,6.57979283933482,0,0,0,0.0141997046461434,0,0,0,0,0,0,0,0.130276185513288,0,0,0,0,0,0,0.0201787840264746,0,0.053258061939126,0,0.217471674314421,0,0,0,0.0478549039312804,0.0772936902584186,0.877263860191844,0.316860796714787,0,0.0895495656846064,0.0273706395149923,2.66670332238244,1.37384293146551,0.0986420280800973,0.0506329113924051,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria"
"880",0,0,0.0552669393169006,0,0,0,0,0.0260807198278672,0,0,0,0.193894739393352,0,0,0,0,0,0.021213631879846,0.0470684217958172,0.0517290432713447,0.326593206861297,0.176047885024727,0.252068104218703,0.370814268403313,0,0,0,0,0,0.0212879191059074,0,0,0,0.0204540805890775,0,0.0605363520794237,0,0,0,0,0,0.048226471510212,0,0,0,0,0.101395454948732,0,0.0298498552282021,0,0,0,0,0,0,0.0159354931238347,0.0390983911012062,0.0787928928810621,0,0,0.0268103702512132,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria"
"884",0.66334991708126,1.05074367289262,1.60274124019012,0.277259666280184,0.0941028858218319,0.105820105820106,0.224769611148573,1.09539023277042,1.5739356260329,2.16485486161223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18877019280875,0.957956359765833,1.92235558889722,0.896076931482898,0.891016012830631,0.429535692370628,1.48814043186443,1.25108460964142,0.259403372243839,15.2850637765292,3.4070157267846,10.5691233716808,0.185916802231002,3.49641918449037,0.347886588971995,3.23020601536142,3.63280344214567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Tenericutes; c__Mollicutes; o__Entomoplasmatales; f__; g__; s__"
"887",0.0510269166985585,0.0362325404445733,0.0921115655281677,0.0756162726218682,0.0313676286072773,0.0529100529100529,0,0.0782421594836017,0.131161302169408,0.0931120370585908,0.0351885519910856,0.10906579090876,0.0924214417744917,0,0.129065565307176,0.101252151608222,0.282725473565168,0.10606815939923,0.141205265387452,0.103458086542689,0.0567988185845734,0.0640174127362643,0.0343729233025505,0.132433667286898,0.133451417618014,0.0714949596053478,0.0377145012257213,0.0963979306577552,0.0814226159458051,0.0425758382118148,0.0468867216804201,0.0437110698284341,0.0254576003665894,0.102270402945388,0.151851064475962,0.121072704158847,0.0518806744487678,0.186403216786941,0.0272561258142768,0.0652415022943262,0.0464792005577504,0.0964529430204239,0.173943294485998,0.0957098078625607,0.0257645634194729,0.0577147276442002,0.0887210230801404,0.178871677458591,0.119399420912809,0.191594476604946,0.0412376802430274,0.0225220152699264,0.0657613520533982,0,0.105652403592182,0.143419438114512,0.0879713799777139,0.0984911161013277,0.0545375218150087,0.130531262237306,0.134051851256066,"k__Bacteria"
"888",0,0,0.0184223131056335,0.0252054242072894,0.0313676286072773,0,0,0.156484318967203,0.0524645208677632,0,0.140754207964342,0.206013160605436,0.184842883548983,0.13588802826471,0,0,0,0.084854527519384,0.125515791455512,0.0258645216356723,0.149096898784505,0.144039178656595,0.171864616512752,0.231758917752071,0.012131947056183,0,0,0,0.0488535695674831,0.0638637573177222,0.257876969242311,0.021855534914217,0.0509152007331789,0.0613622417672326,0.0607404257903848,0.22196662429122,0,0.133145154847815,0.190792880699937,0.0434943348628841,0,0.0723397072653179,0,0.167492163759481,0,0.219315965047961,0.202790909897464,0,0.149249276141011,0.191594476604946,0.123713040729082,0.0450440305398527,0,0.0506329113924051,0,0.0318709862476694,0.156393564404825,0.0393964464405311,0.0272687609075044,0.0217552103728843,0.0804311107536395,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria"
